"key","eng","spa","cat","it","fr","por","german","greek","arab","nepali"
"continue","Continue","Continuar","Continua","Continua","Continuer","Continuar","Weiter","Συνέχεια","متابعة","जारी राख्नुहोस्"
"change_user","Change","Cambiar","Canvia","Cambia","Changer","Alterar","Ändern","Αλλαγή","تغيير","परिवर्तन गर्नुहोस्"
"recover_password","Forgot your password?","¿Olvidaste tu contraseña?","Has oblidat la contrasenya?","Hai dimenticato la password?","Mot de passe oublié ?","Esqueceu a sua palavra-passe?","Passwort vergessen?","Ξεχάσατε τον κωδικό σας;","هل نسيت كلمة المرور؟","पासवर्ड बिर्सनुभयो?"
"recover_password_title","Recover your password","Recupera tu contraseña","Recupera la teva contrasenya","Recupera la tua password","Récupérez votre mot de passe","Recupere a sua palavra-passe","Passwort wiederherstellen","Ανακτήστε τον κωδικό σας","استعادة كلمة المرور","तपाईंको पासवर्ड पुन: प्राप्त गर्नुहोस्"
"recover_password_help","Enter your username or email address and we will send you an 8-digit recovery code.","Introduce tu usuario o correo electrónico y te enviaremos un código de recuperación de 8 dígitos.","Introdueix el teu usuari o correu electrònic i t'enviarem un codi de recuperació de 8 dígits.","Inserisci il tuo nome utente o email e ti invieremo un codice di recupero di 8 cifre.","Saisissez votre nom d'utilisateur ou votre adresse e-mail et nous vous enverrons un code de récupération à 8 chiffres.","Introduza o seu nome de utilizador ou e-mail e enviar-lhe-emos um código de recuperação de 8 dígitos.","Geben Sie Ihren Benutzernamen oder Ihre E-Mail-Adresse ein und wir senden Ihnen einen 8-stelligen Wiederherstellungscode.","Εισαγάγετε το όνομα χρήστη ή το email σας και θα σας στείλουμε έναν 8ψήφιο κωδικό ανάκτησης.","أدخل اسم المستخدم أو البريد الإلكتروني وسنرسل لك رمز استرداد مكوّن من 8 أرقام.","तपाईंको प्रयोगकर्ता नाम वा इमेल प्रविष्ट गर्नुहोस् र हामी तपाईंलाई ८-अङ्कको रिकभरी कोड पठाउनेछौं।"
"username_or_email","Username or email","Usuario o correo electrónico","Usuari o correu electrònic","Nome utente o email","Nom d'utilisateur ou e-mail","Nome de utilizador ou e-mail","Benutzername oder E-Mail","Όνομα χρήστη ή email","اسم المستخدم أو البريد الإلكتروني","प्रयोगकर्ता नाम वा इमेल"
"send_code","Send recovery code","Enviar código de recuperación","Envia el codi de recuperació","Invia codice di recupero","Envoyer le code de récupération","Enviar código de recuperação","Wiederherstellungscode senden","Αποστολή κωδικού ανάκτησης","إرسال رمز الاسترداد","रिकभरी कोड पठाउनुहोस्"
"back_to_login","Back to login","Volver al inicio de sesión","Torna a l'inici de sessió","Torna all'accesso","Retour à la connexion","Voltar ao início de sessão","Zurück zur Anmeldung","Επιστροφή στη σύνδεση","العودة إلى تسجيل الدخول","लगइनमा फर्कनुहोस्"
"recovery_code_title","Check your email","Revisa tu correo","Revisa el teu correu","Controlla la tua email","Vérifiez votre e-mail","Verifique o seu e-mail","Überprüfen Sie Ihre E-Mail","Ελέγξτε το email σας","تحقق من بريدك الإلكتروني","तपाईंको इमेल जाँच गर्नुहोस्"
"recovery_code_help","We sent an 8-digit code to your email. Enter it below with your new password.","Hemos enviado un código de 8 dígitos a tu correo. Introdúcelo junto con tu nueva contraseña.","Hem enviat un codi de 8 dígits al teu correu. Introdueix-lo amb la teva nova contrasenya.","Abbiamo inviato un codice di 8 cifre alla tua email. Inseriscilo qui sotto con la tua nuova password.","Nous avons envoyé un code à 8 chiffres à votre e-mail. Saisissez-le ci-dessous avec votre nouveau mot de passe.","Enviámos um código de 8 dígitos para o seu e-mail. Introduza-o abaixo com a sua nova palavra-passe.","Wir haben einen 8-stelligen Code an Ihre E-Mail gesendet. Geben Sie ihn unten mit Ihrem neuen Passwort ein.","Στείλαμε έναν 8ψήφιο κωδικό στο email σας. Εισαγάγετέ τον παρακάτω μαζί με τον νέο σας κωδικό.","لقد أرسلنا رمزًا مكوّنًا من 8 أرقام إلى بريدك الإلكتروني. أدخله أدناه مع كلمة المرور الجديدة.","हामीले तपाईंको इमेलमा ८-अङ्कको कोड पठायौं। यसलाई तपाईंको नयाँ पासवर्डसँग तल प्रविष्ट गर्नुहोस्।"
"new_password","New password","Nueva contraseña","Nova contrasenya","Nuova password","Nouveau mot de passe","Nova palavra-passe","Neues Passwort","Νέος κωδικός","كلمة مرور جديدة","नयाँ पासवर्ड"
"repeat_password","Repeat new password","Repite la nueva contraseña","Repeteix la nova contrasenya","Ripeti la nuova password","Répétez le nouveau mot de passe","Repita a nova palavra-passe","Neues Passwort wiederholen","Επαναλάβετε τον νέο κωδικό","أعد إدخال كلمة المرور الجديدة","नयाँ पासवर्ड दोहोर्याउनुहोस्"
"reset_password","Reset password","Restablecer contraseña","Restableix la contrasenya","Reimposta la password","Réinitialiser le mot de passe","Repor a palavra-passe","Passwort zurücksetzen","Επαναφορά κωδικού","إعادة تعيين كلمة المرور","पासवर्ड रिसेट गर्नुहोस्"
"invalid_username","Invalid username","Usuario no válido","Usuari no vàlid","Nome utente non valido","Nom d'utilisateur invalide","Nome de utilizador inválido","Ungültiger Benutzername","Μη έγκυρο όνομα χρήστη","اسم المستخدم غير صالح","अमान्य प्रयोगकर्ता नाम"
"invalid_auth_code","Invalid auth code!","¡Código de acceso no válido!","Codi d'accés no vàlid!","Codice di accesso non valido!","Code d'authentification invalide !","Código de acesso inválido!","Ungültiger Anmeldecode!","Μη έγκυρος κωδικός πρόσβασης!","رمز المصادقة غير صالح!","अमान्य प्रमाणीकरण कोड!"
"enter_username_or_email","Please enter your username or email","Introduce tu usuario o correo electrónico","Introdueix el teu usuari o correu electrònic","Inserisci il tuo nome utente o email","Veuillez saisir votre nom d'utilisateur ou votre e-mail","Introduza o seu nome de utilizador ou e-mail","Bitte geben Sie Ihren Benutzernamen oder Ihre E-Mail ein","Εισαγάγετε το όνομα χρήστη ή το email σας","الرجاء إدخال اسم المستخدم أو البريد الإلكتروني","कृपया तपाईंको प्रयोगकर्ता नाम वा इमेल प्रविष्ट गर्नुहोस्"
"enter_recovery_code","Enter the 8-digit recovery code","Introduce el código de recuperación de 8 dígitos","Introdueix el codi de recuperació de 8 dígits","Inserisci il codice di recupero di 8 cifre","Saisissez le code de récupération à 8 chiffres","Introduza o código de recuperação de 8 dígitos","Geben Sie den 8-stelligen Wiederherstellungscode ein","Εισαγάγετε τον 8ψήφιο κωδικό ανάκτησης","أدخل رمز الاسترداد المكوّن من 8 أرقام","८-अङ्कको रिकभरी कोड प्रविष्ट गर्नुहोस्"
"password_too_short","Password too short. Use at least 8 characters","Contraseña demasiado corta. Usa al menos 8 caracteres","Contrasenya massa curta. Utilitza com a mínim 8 caràcters","Password troppo corta. Usa almeno 8 caratteri","Mot de passe trop court. Utilisez au moins 8 caractères","Palavra-passe demasiado curta. Use pelo menos 8 caracteres","Passwort zu kurz. Verwenden Sie mindestens 8 Zeichen","Ο κωδικός είναι πολύ σύντομος. Χρησιμοποιήστε τουλάχιστον 8 χαρακτήρες","كلمة المرور قصيرة جدًا. استخدم 8 أحرف على الأقل","पासवर्ड धेरै छोटो छ। कम्तीमा ८ वर्ण प्रयोग गर्नुहोस्"
